단계,핵심 주제,예제 번호,주요 내용
1,환경·하네스 기초,001~010,"Anaconda, 프로젝트 구조, 재현성, 데이터 계약"
2,반도체 센서 데이터 기초,011~030,온도·압력·유량·진동·전류 데이터 생성/읽기
3,데이터 품질과 전처리,031~050,결측·이상값·단위·시간축·센서 드리프트
4,공정 변수 모니터링,051~080,"관리도, 이동통계, EWMA, CUSUM, 경보"
5,불량·이상 공정 탐지,081~120,규칙·통계·비지도·베이지안 이상 탐지
6,수율 예측,121~160,회귀·분류·확률 수율·불확실성
7,장비 상태 진단,161~200,"상태지표, 고장모드, 센서 융합, 진단 확률"
8,공정 조건별 품질 비교,201~240,"A/B, 다집단, 계층모형, 효과크기"
9,설비 예지보전,241~290,"RUL, 생존분석, 위험도, 정비 의사결정"
10,디지털 트윈 기초,291~330,"가상 장비, 상태 동기화, what-if 시뮬레이션"
11,스마트팩토리 개선안,331~370,"병목, OEE, 에너지, 품질·생산성 최적화"
12,ROS2 Humble 연계 준비,371~390,"토픽 모사, 메시지 계약, 노드 분리, QoS 개념"
13,종합 포트폴리오,391~400,통합 진단·예측·디지털 트윈 개선안
